"Job vacancies, payroll employees, job vacancy rate, and average offered hourly wage by industry sub-sector, quarterly, unadjusted for seasonality c 1 2"
"Frequency: Quarterly"
"Table: 14-10-0442-01"
"Release date: 2026-03-17"
"Geography: Canada, Province or territory"
""
""

,"Geography","Newfoundland and Labrador",,,,"Prince Edward Island",,,,"Nova Scotia",,,,"New Brunswick",,,,"Quebec",,,,"Ontario",,,,"Manitoba",,,,"Saskatchewan",,,,"Alberta",,,,"British Columbia",,,,"Yukon",,,,"Northwest Territories",,,,"Nunavut",,,
"North American Industry Classification System (NAICS) 3 4","Statistics","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2021","Q2 2021","Q3 2021","Q4 2021"
"Total, all industries 3",,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancies 5","3,740B","7,005A","7,115B","7,335A","1,465B","3,215B","3,240B","3,455B","12,780A","15,365A","18,165A","20,330A","9,735A","14,415A","15,365A","14,400A","147,505A","194,820A","238,730A","238,525A","196,550A","264,460A","338,795A","348,300A","17,765A","22,030A","24,445A","25,820A","12,030A","16,945A","20,280A","19,745A","50,415A","68,985A","86,315A","85,835A","100,600A","122,425A","157,585A","148,880A","825B","1,405B","1,300B","1,320B","870C","1,130C","1,435C","1,465C","515C","610D","475D","465C"
,"Payroll employees 4 6","181,495A","186,690A","202,420A","196,130A","57,880A","61,200A","66,750A","66,845A","380,880A","385,710A","400,490A","403,930A","290,660A","297,830A","319,570A","315,395A","3,393,550A","3,500,855A","3,658,715A","3,734,815A","5,820,970A","5,871,530A","6,062,535A","6,289,680A","552,005A","568,905A","575,875A","591,915A","439,055A","446,905A","455,095A","470,975A","1,768,220A","1,800,140A","1,866,795A","1,910,960A","2,122,795A","2,148,380A","2,201,235A","2,274,515A","16,625A","17,070A","18,495A","18,640A","19,670A","20,520A","21,330A","21,065A","13,885A","14,170A","14,010A","14,860A"
,,"Percent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancy rate 7","2.0B","3.6A","3.4B","3.6A","2.5B","5.0B","4.6B","4.9B","3.2A","3.8A","4.3A","4.8A","3.2A","4.6A","4.6A","4.4A","4.2A","5.3A","6.1A","6.0A","3.3A","4.3A","5.3A","5.2A","3.1A","3.7A","4.1A","4.2A","2.7A","3.7A","4.3A","4.0A","2.8A","3.7A","4.4A","4.3A","4.5A","5.4A","6.7A","6.1A","4.7B","7.6B","6.6B","6.6B","4.2C","5.2C","6.3B","6.5B","3.6C","4.1D","3.3D","3.0B"
,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Average offered hourly wage 8","20.95A","19.35A","19.05A","19.85A","18.65A","18.50A","17.90A","19.00A","20.70A","19.70A","19.65A","19.60A","20.00A","18.55A","18.65A","18.65A","22.20A","21.80A","21.70A","21.85A","24.85A","23.95A","23.05A","23.70A","21.30A","20.25A","20.00A","20.30A","22.00A","21.30A","20.85A","21.40A","24.00A","23.05A","23.45A","24.05A","24.60A","23.95A","23.50A","23.95A","23.55A","24.35A","24.00A","23.90A","28.80A","29.05B","26.75A","28.35A","31.55B","29.80B","28.30A","29.35A"
"Agriculture, forestry, fishing and hunting  [11]",,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancies 5","80E","135E","80E","90E","F","330E","F","195E","270E","380D","590D","290D","F","370E","315E","315E","2,340C","2,795B","3,020C","2,650C","4,065B","6,060B","5,110B","4,820B","240D","505E","350D","395D","680E","475E","845E","415D","1,225C","1,195D","975C","1,105D","2,470D","3,735D","4,345C","2,950D","F","75E","F","F","F","F","F","F","..","..","..","F"
,"Payroll employees 4 6","1,625A","1,685A","2,295A","2,150B","2,755D","3,975D","4,620E","3,345D","7,775A","8,655A","9,825A","8,220A","6,990A","7,800A","10,000A","8,755A","43,910A","50,030A","65,730A","59,340A","52,205A","60,075A","72,990A","68,280A","12,540A","12,785A","14,095A","14,170A","12,760A","12,785A","16,385A","13,955A","25,440A","24,980A","26,030A","25,765A","37,695A","42,575A","53,435A","47,515A","50E","F","F","140E","F","F","F","F","..","..","..","F"
,,"Percent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancy rate 7","4.8E","7.4E","3.4E","3.9E","F","7.7E","F","5.5E","3.3E","4.2D","5.7D","3.4D","F","4.5E","3.1D","3.5E","5.1C","5.3B","4.4B","4.3B","7.2B","9.2B","6.5B","6.6B","1.9D","3.8E","2.4D","2.7D","5.1E","3.6E","4.9D","2.9D","4.6C","4.6D","3.6C","4.1D","6.2C","8.1D","7.5B","5.8C","F","46.5E","F","11.1E","F","F","F","F","..","..","..","F"
,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Average offered hourly wage 8","15.50B","16.00A","17.75C","15.20A","14.85B","15.05A","15.75B","15.10A","14.20A","14.95A","14.05A","14.50A","21.75E","18.45B","16.20B","17.15B","16.95A","17.85A","17.45A","19.00A","16.10A","16.75A","17.15A","17.10A","15.25A","15.25B","19.00A","19.65B","20.85B","20.50D","20.30B","22.10B","21.65B","21.55A","23.80A","26.70A","19.75A","18.90A","19.45A","21.80B","F","23.15E","F","22.15E","F","F","F","F","..","..","..",".."
"Mining, quarrying, and oil and gas extraction  [21]",,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancies 5","x","110D","105D","90C","F","F","F","F","20E","25D","F","20B","x","25E","30E","x","545C","855B","825C","955B","675C","1,040C","1,095B","1,050B","160D","285D","135E","x","390D","525C","600B","670C","2,215D","3,300D","4,545D","3,595C","665D","1,255D","1,170C","900B","70E","125D","F","x","x","0","0","F","F","80E","45E","110C"
,"Payroll employees 4 6","5,345B","5,300B","5,450A","5,545A","F","x","F","F","x","x","x","x","880A","x","x","x","19,450A","20,205A","21,995A","20,955A","26,710A","27,035A","27,935A","28,375A","x","x","x","x","16,675A","16,545A","16,180A","16,685A","86,765B","86,860A","86,790A","90,985A","20,165D","20,610B","21,880A","22,150A","x","660E","F","x","x","x","x","F","F","4,550E","4,815E","4,880D"
,,"Percent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancy rate 7","x","2.0D","1.9D","1.6C","F","x","F","F","x","x","x","x","x","x","x","x","2.7C","4.1B","3.6B","4.4B","2.5C","3.7B","3.8B","3.6B","x","x","x","x","2.3D","3.1C","3.6B","3.9C","2.5D","3.7D","5.0C","3.8C","3.2D","5.7D","5.1B","3.9B","x","15.7D","4.5E","x","x","x","x","F","F","1.7E","0.9E","2.2C"
,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Average offered hourly wage 8","x","29.65C","37.35B","33.45A","..","..","..","..","27.90E","27.15A","F","31.35B","x","18.70E","21.05D","x","29.30B","30.70A","30.25A","36.25A","34.90A","33.20A","33.00A","34.05A","25.55B","25.85C","26.95B","x","39.75A","35.85A","36.25A","37.55A","33.70A","33.35B","33.55B","33.70A","30.80C","30.65C","35.85B","34.00A","26.20E","30.25A","32.50E","x","x","..","..","F","F","39.70E","36.45E","39.85A"
"Utilities  [22]",,"Number",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancies 5","x","60A","25A","F","0","F","F","x","60B","45D","55D","40D","x","x","F","x","F","F","F","F","715C","1,070C","920C","1,060D","F","F","F","x","F","F","75E","55D","80D","155E","185D","210D","235B","410B","305C","410C","x","F","F","x","F","x","F","F","F","F","F","x"
,"Payroll employees 4 6","x","x","x","2,885B","305E","x","x","470E","x","x","x","x","2,995A","x","3,235A","x","F","F","F","F","48,945A","49,075A","50,525A","50,390C","x","x","x","x","4,595C","F","4,790D","4,765B","14,135A","14,240A","14,855A","14,980A","12,225A","12,245A","12,060A","12,000A","x","x","F","F","x","x","x","F","x","x","F","x"
,,"Percent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Job vacancy rate 7","x","x","x","F","0.0","x","x","x","x","x","x","x","x","x","F","x","F","F","F","F","1.4C","2.1C","1.8C","2.1D","x","x","x","x","F","F","1.5E","1.2D","0.6D","1.1E","1.2D","1.4D","1.9B","3.2B","2.4C","3.3C","x","x","F","x","x","x","x","7.8E","x","x","F","x"
,,"Dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Average offered hourly wage 8","x","34.80A","41.55A","44.70E","..","F","F","x","36.30A","34.80A","35.80A","37.15A","x","x","38.95B","x","F","F","F","F","37.00A","35.15A","39.10A","39.40C","F","F","F","x","F","F","35.80E","34.60D","46.90B","37.05C","41.60B","41.35A","39.20A","34.75A","39.00A","35.55B","x","..","..","x","F","x","F","50.45E","F","F","F","x"
